"46019222","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ESCOLA D'ADULTS","F.P.A. ESCOLA D'ADULTS","Púb.","CL","LUIS VIVES","46",46930,"QUART DE POBLET","València","961543104","961543104",39.4823,-0.454318
"46019386","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MIQUEL ROSANES","F.P.A. MIQUEL ROSANES","Púb.","CL","MARE DE DEU","2",46410,"SUECA","València","961710265","961710265",39.2021,-0.312332
"46019398","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS LA SERRANÍA","LA SERRANÍA","F.P.A. LA SERRANÍA","Púb.","AV","RAMÓN VILLANUEVA","15",46177,"TUÉJAR","València","961635126","",39.7665,-1.04175
"46019404","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","FONT DE SANT LLUÍS","F.P.A. FONT DE SANT LLUÍS","Púb.","CL","PACO PIERRA","20",46013,"VALENCIA","València","963333422","963730149",39.45,-0.367473
"46019428","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","CENTRO SOCIAL DEL GRAO","F.P.A. CENTRO SOCIAL DEL GRAO","Púb.","CL","JOSÉ MARIA HARO","2",46022,"VALENCIA","València","963559230","",39.4675,-0.338902
"03008496","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SERVER-MORA","SERVER-MORA","Púb.","CR","DE ALCOI","S/N",3579,"SELLA","Alacant","965879088","965879088",38.6093,-0.273982
"03008599","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SAN LUIS BELTRAN","SAN LUIS BELTRAN","Púb.","CL","SANTA CRUZ","31",3795,"TORMOS","Alacant","965587206","",38.8028,-0.070596
"03000096","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","","COL·LEGI EDUCACIÓ INFANTIL I PRIMÀRIA","Púb.","AV","DEL DOCTOR SAPENA","S/N",3569,"AIGÜES","Alacant","965690301","965690301",38.5006,-0.365124
"03000163","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MOSQUERA","MOSQUERA","Púb.","CL","LES ESCOLES","S/N",3728,"ALCALALÍ","Alacant","966482134","",38.751,-0.040131
"03011033","ESCOLA D'ART I SUPERIOR DE DISSENY","","ESCOLA D'ART I SUPERIOR DE DISSENY","Púb.","CL","BARRANC DE NA LLOBA","S/N",3801,"ALCOI","Alacant","966521103","966521148",38.6987,-0.476586
"03002950","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTRAL","MESTRAL","Púb.","CL","RACONA","11",3759,"BENIDOLEIG","Alacant","966404158","966404491",38.792,-0.029386
"03003139","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","","COL·LEGI EDUCACIÓ INFANTIL I PRIMÀRIA","Púb.","CL","ESCUELAS","19",3517,"BENIFATO","Alacant","965885016","",38.6734,-0.229833
"03003176","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENIMANTELL","BENIMANTELL","Púb.","CL","CREUETA","18",3516,"BENIMANTELL","Alacant","965885120","965885120",38.6775,-0.210879
"12001691","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","FRANCISCO MONDRAGÓN","FRANCISCO MONDRAGÓN","Púb.","CL","PRINCIPE FELIPE","80",12528,"ESLIDA","Castelló","964628352","964628020",39.8829,-0.310026
"12002208","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","","COL·LEGI EDUCACIÓ INFANTIL I PRIMÀRIA","Púb.","PZ","DE LES ESCOLES","S/N",12320,"SANT JORDI","Castelló","964499017","",40.5086,0.331028
"12002737","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT MIQUEL","SANT MIQUEL","Púb.","CR","LA POBLA","S/N",12192,"VILAFAMÉS","Castelló","964329101","964329101",40.1163,-0.046756
"03002895","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENICADIM","BENICADIM","Púb.","CL","FRONTO","1",3778,"BENIARBEIG","Alacant","966477004","966477004",38.824,-0.002543
"03009041","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","HISPANITAT","HISPANITAT","Púb.","PD","SECANET","92",3570,"VILA JOIOSA (LA)","Alacant","965892143","",38.5173,-0.218503
"03010661","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","POBLE NOU","POBLE NOU","Púb.","AV","JAUME I EL CONQUERIDOR","S/N",3570,"VILA JOIOSA (LA)","Alacant","965893343","966810066",38.5037,-0.237987
"03007042","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA MANUEL RIQUELME","MANUEL RIQUELME","MANUEL RIQUELME","Púb.","CR","DE BIGASTRO","4",3313,"ORIHUELA HURCHILLO","Alacant","965350714","966772015",38.0596,-0.92091
"46019866","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTALLA","MESTALLA","Púb.","CL","ERNESTO FERRER","2",46021,"VALENCIA","València","963695950","963695950",39.4719,-0.356627
"12000509","CENTRE PRIVAT E. INFANTIL I PRIMÀRIA","NUESTRA SEÑORA DE LA CONSOLACIÓN","NUESTRA SEÑORA DE LA CONSOLACIÓN","Priv.","PZ","MADRE MOLAS","1",12580,"BENICARLÓ","Castelló","964471699","964475064",40.4193,0.42793
"12000479","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","MAGDALA","CENTRE EDUCACIÓ INFANTIL (1) MAGDALA","Priv.","CL","SANTOS MARTIRES","27",12580,"BENICARLÓ","Castelló","964471503","",40.4216,0.423806
"12003596","CENTRE PRIVAT D'EDUCACIÓ ESPECIAL","EL CAU","C.E.ESPECIAL EL CAU","Priv.","CM","DE BORRIOL A LA COSTA","9",12004,"CASTELLÓ DE LA PLANA","Castelló","964200920","964200920",40.0076,-0.04553
"12001101","CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA","IZQUIERDO-SOROLLA","IZQUIERDO-SOROLLA","Priv.","AV","NAVARRA","118",12002,"CASTELLÓ DE LA PLANA","Castelló","964200230","964250176",39.9849,-0.043044
"12001009","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MADRE VEDRUNA SAGRADO CORAZÓN","MADRE VEDRUNA SAGRADO CORAZÓN","Priv.","AV","CASALDUCH","25",12005,"CASTELLÓ DE LA PLANA","Castelló","964222762","964222388",39.98,-0.037728
"12003501","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","MANON","CENTRE F.PROFESSIONAL MANON","Priv.","CL","NAVARRA","76",12002,"CASTELLÓ DE LA PLANA","Castelló","964204713","",39.9848,-0.042154
"12000947","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","NUESTRA SEÑORA DE LA CONSOLACIÓN","NUESTRA SEÑORA DE LA CONSOLACIÓN","Priv.","AV","DE LIDON","49",12003,"CASTELLÓ DE LA PLANA","Castelló","964220700","964220704",39.991,-0.031124
"12003602","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","SAN CRISTÓBAL","CENTRE EDUCACIÓ INFANTIL (2) SAN CRISTÓBAL","Priv.","CL","MONCÓFAR","6",12003,"CASTELLÓ DE LA PLANA","Castelló","964233114","964223008",39.9874,-0.028753
"46015231","ESCOLA INFANTIL","NIÑO JESÚS","ESCOLA INFANTIL NIÑO JESÚS","Púb.","CL","SAN CLEMENTE","13",46015,"VALENCIA","València","963481074","",39.4899,-0.401655
"03013352","INSTITUT D'EDUCACIÓ SECUNDÀRIA","HAYGÓN","INSTITUT EDUCACIÓ SECUNDÀRIA HAYGÓN","Púb.","AV","HAYGÓN","50",3690,"SANT VICENT DEL RASPEIG","Alacant","965672875","965672426",38.3831,-0.502732
"46006641","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MARE DE DÉU DE VALLIVANA","MARE DE DÉU DE VALLIVANA","Púb.","CL","CARLOS ALBORS","18",46220,"PICASSENT","València","961230445","961221077",39.3651,-0.461705
"46007876","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA VICENTE ALEIXANDRE","VICENTE ALEIXANDRE","VICENTE ALEIXANDRE","Púb.","CL","V.SANCHEZ Y T.BALAGUER","2",46392,"SIETE AGUAS","València","962340387","",39.4724,-0.915706
"46015885","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PARE CATALÀ","PARE CATALÀ","Púb.","CL","PADRE ALEGRE","22",46020,"VALENCIA","València","963617090","963692559",39.4843,-0.355382
"46015061","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE BLASCO IBÁÑEZ","VICENTE BLASCO IBÁÑEZ","Púb.","CL","JUAN DE AUSTRIA","24",46960,"ALDAIA","València","961509497","961506443",39.4719,-0.460632
"46001606","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","GREGORI MAYANS I CISCAR","GREGORI MAYANS I CISCAR","Púb.","CL","VICENT ANDRES ESTELLES","1",46713,"BELLREGUARD","València","962815551","962815551",38.9432,-0.163765
"46004164","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","CERVANTES","CERVANTES","Púb.","PZ","EXERCIT ESPANYOL","7",46701,"GANDIA","València","962872375","",38.9732,-0.177745
"46004863","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT MIQUEL","SANT MIQUEL","Púb.","CL","DOMEÑO","1",46160,"LLÍRIA","València","962781217","962781217",39.6308,-0.600986
"46000821","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LA SÈNIA","LA SÈNIA","Púb.","CL","SENYERA","3",46690,"ALCÚDIA DE CRESPINS (L')","València","962247011","962247011",38.9716,-0.594783
"46005417","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","OLIVERETES","OLIVERETES","Púb.","CL","PALOMA","2",46711,"MIRAMAR","València","962819610","",38.9521,-0.14028
"46005570","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JAUME I","JAUME I","Púb.","CL","FELIPE BELLVER","39",46920,"MISLATA","València","963792927","963792927",39.4756,-0.411888
"46007271","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ASUNCIÓN DE NUESTRA SEÑORA","ASUNCIÓN DE NUESTRA SEÑORA","Priv.","CL","PRIMER DE MAIG","72",46190,"RIBA-ROJA DE TÚRIA","València","962770660","961653537",39.5426,-0.566745
"46007268","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MARÍA DE ICÍAR","MARÍA DE ICÍAR","Priv.","PD","DE VALENCIA LA VELLA","",46190,"RIBA-ROJA DE TÚRIA","València","689405091","962770562",39.5308,-0.538636
"03000451","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","EL SALVADOR","CENTRE EDUCACIÓ INFANTIL EL SALVADOR","Priv.","CL","ENTENZA","78",3803,"ALCOI","Alacant","965336867","965336867",38.704,-0.477031
"46007724","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ADVENTISTA","ADVENTISTA","Priv.","CR","DE PETRES","S/N",46500,"SAGUNT","València","962655757","962650166",39.7024,-0.282254
"46007499","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAN PEDRO APÓSTOL","SAN PEDRO APÓSTOL","Priv.","CL","ALMUDAFER","9",46520,"SAGUNT PUERTO SAGUNTO (EL)","València","962679556","962678048",39.6605,-0.226432
"46008649","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","MADRE SACRAMENTO","MADRE SACRAMENTO","Priv.","AV","AL VEDAT","188",46900,"TORRENT","València","961551571","961551252",39.4248,-0.484541
"46013979","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SANTA ANA","SANTA ANA","Priv.","CL","MADRE MARÍA RAFOLS","15",46720,"VILLALONGA","València","962805097","962805097",38.8835,-0.204433
"46019121","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","PLEYADE","PLEYADE","Priv.","CL","JOAQUIN COSTA","26",46901,"TORRENT MONTE VEDAT","València","961559047","961559049",39.4207,-0.496989
"46019210","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ESCOLA D'ADULTS","F.P.A. ESCOLA D'ADULTS","Púb.","CL","BONAIRE","1",46740,"CARCAIXENT","València","962434936","962434936",39.1224,-0.443621
"46019246","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS ESCUELA DE ADULTOS","ESCUELA DE ADULTOS","F.P.A. ESCUELA DE ADULTOS","Púb.","CL","DOCTOR CORACHAN","31",46370,"CHIVA","València","962521613","962521613",39.474,-0.713618
"46019258","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS SIMÓN MONERRIS","SIMÓN MONERRIS","F.P.A. SIMÓN MONERRIS","Púb.","CL","SAN JAIME","15",46810,"ENGUERA","València","962225270","962225270",38.9766,-0.687638
"46019441","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","L'ALGUER","F.P.A. L'ALGUER","Púb.","CL","JALANCE","14",46022,"VALENCIA","València","963719348","963567053",39.4708,-0.344031
"46019416","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MALVARROSA","F.P.A. MALVARROSA","Púb.","PZ","CRONISTA FCO. MOMBLANCH","S/N",46011,"VALENCIA","València","963727363","",39.477,-0.327417
"46019453","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","REINA DOÑA GERMANA","F.P.A. REINA DOÑA GERMANA","Púb.","CL","ESTEBAN DOLZ DEL CASTELLAR","2",46019,"VALENCIA","València","963660982","963688237",39.4949,-0.366846
"46019465","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SANT MARCEL·LÍ","F.P.A. SANT MARCEL·LÍ","Púb.","CL","INGENIERO JOSÉ SIRERA","20",46017,"VALENCIA","València","963770654","",39.4465,-0.391399
"46019477","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SERRANO MORALES","F.P.A. SERRANO MORALES","Púb.","CL","ALBERIQUE","18",46008,"VALENCIA","València","963924561","963922988",39.468,-0.388534
"46019489","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","PARC DE L'OEST","F.P.A. PARC DE L'OEST","Púb.","CL","SUMACARCEL","S/N",46018,"VALENCIA","València","963837896","963837896",39.467,-0.401891
"03013601","ESCUELA INFANTIL DE PRIMER CICLO EL MIRADOR","EL MIRADOR","ESCUELA INFANTIL (1) EL MIRADOR","Púb.","CL","SÉNECA","S/N",3600,"ELDA","Alacant","965396273","",38.4788,-0.8047
"03013595","ESCUELA INFANTIL DE PRIMER CICLO EL PUENTE","EL PUENTE","ESCUELA INFANTIL (1) EL PUENTE","Púb.","AV","DE LA LIBERTAD","S/N",3600,"ELDA","Alacant","965397447","965397447",38.488,-0.793869
"03009774","ESCUELA INFANTIL DE PRIMER CICLO SANTA INFANCIA","SANTA INFANCIA","ESCUELA INFANTIL (1) SANTA INFANCIA","Púb.","CL","BRUNETE","3",3600,"ELDA","Alacant","965387806","",38.4826,-0.789835
"03013625","ESCOLA INFANTIL DE PRIMER CICLE","AITANA","ESCOLA INFANTIL (1) AITANA","Púb.","CR","DE ASPE","S/N",3206,"ELX","Alacant","965441305","",38.2643,-0.701591
